board_representation,random_agent_final_score_20_gen,random_agent_final_score_50_gen,maximizing_neighbors_agent_final_score_20_gen,maximizing_neighbors_agent_final_score_50_gen,minimizing_neighbors_agent_final_score_20_gen,minimizing_neighbors_agent_final_score_50_gen,idealizing_neighbors_agent_final_score_20_gen,idealizing_neighbors_agent_final_score_50_gen,without_agent_final_score_20_gen,without_agent_final_score_50_gen,is_infinite_without_interference
"| width: 5, height: 5, live_cells: {(0, 1), (4, 0), (1, 2), (4, 3), (0, 0), (0, 3), (2, 0), (4, 2), (1, 4), (3, 0), (0, 2), (4, 1)} |",0,5,0,0,4,4,13,13,0,0,False
"| width: 5, height: 5, live_cells: {(0, 1), (4, 0), (3, 4), (0, 0), (3, 0), (0, 2), (3, 2)} |",0,0,8,8,0,0,9,17,0,0,False
"| width: 5, height: 5, live_cells: {(4, 0), (0, 4), (2, 1), (0, 0), (4, 3), (1, 1), (1, 4), (3, 3), (3, 2), (4, 1)} |",11,0,5,6,0,0,17,17,7,7,True
"| width: 5, height: 5, live_cells: {(3, 3), (2, 1), (0, 0)} |",0,0,6,6,0,0,0,0,0,0,False
"| width: 5, height: 5, live_cells: {(4, 0), (2, 1), (4, 3), (1, 1), (0, 3), (2, 0), (4, 2), (3, 0), (2, 3), (1, 0), (3, 2), (4, 1)} |",0,0,5,5,0,0,12,12,0,0,False
"| width: 5, height: 5, live_cells: {(4, 4), (1, 2), (2, 1), (3, 1), (0, 3), (1, 4), (0, 2), (1, 0), (3, 2), (1, 3)} |",0,0,6,7,0,0,14,14,0,0,False
"| width: 5, height: 5, live_cells: {(4, 0), (3, 4), (4, 3), (3, 1), (0, 2), (2, 2), (1, 0), (1, 3), (4, 2), (3, 0), (3, 3), (0, 1), (2, 4), (1, 2), (0, 4), (2, 1), (3, 2), (4, 1), (4, 4), (0, 0), (1, 4), (2, 3)} |",0,0,0,0,0,0,12,12,0,0,False
"| width: 5, height: 5, live_cells: {(4, 4), (0, 1), (4, 0), (0, 4), (2, 1), (1, 2), (0, 0), (3, 1), (4, 1), (4, 3), (0, 3), (2, 0), (3, 0), (2, 3), (3, 3), (2, 2), (1, 0), (1, 3)} |",0,0,8,8,0,0,13,7,0,0,False
"| width: 5, height: 5, live_cells: {(0, 1), (4, 0), (0, 4), (3, 4), (3, 1), (4, 2), (2, 3), (3, 3), (1, 3)} |",0,0,13,6,0,0,15,16,6,6,True
"| width: 5, height: 5, live_cells: {(0, 1), (4, 4), (2, 1), (3, 4), (4, 3), (3, 1), (0, 3), (2, 0), (1, 4), (4, 2), (3, 0), (0, 2), (3, 3), (2, 2), (3, 2)} |",4,0,7,5,0,0,14,14,0,0,False
