life_at_0_0,life_at_0_1,life_at_0_2,life_at_0_3,life_at_0_4,life_at_1_0,life_at_1_1,life_at_1_2,life_at_1_3,life_at_1_4,life_at_2_0,life_at_2_1,life_at_2_2,life_at_2_3,life_at_2_4,life_at_3_0,life_at_3_1,life_at_3_2,life_at_3_3,life_at_3_4,life_at_4_0,life_at_4_1,life_at_4_2,life_at_4_3,life_at_4_4,num_alive,ideal_neighbors_heuristic,max_neighbors_heuristic,min_neighbors_heuristic,life_span_class
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,21,6,121,0.008264462809917356,0
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,5,8,27,0.037037037037037035,0
True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,True,True,True,True,20,8,110,0.00909090909090909,0
True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,False,True,True,False,False,True,True,18,8,103,0.009708737864077669,0
True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,19,8,112,0.008928571428571428,0
True,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,7,10,36,0.027777777777777776,0
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,2,16,0.0625,0
True,True,False,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,19,6,112,0.008928571428571428,0
True,True,True,True,True,True,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,True,True,True,14,15,76,0.013157894736842105,1
False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,5,6,28,0.03571428571428571,0
True,False,True,False,True,True,False,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,False,False,15,8,87,0.011494252873563218,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,2,2,11,0.09090909090909091,0
True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,False,False,16,9,94,0.010638297872340425,0
