life_at_0_0,life_at_0_1,life_at_0_2,life_at_0_3,life_at_0_4,life_at_1_0,life_at_1_1,life_at_1_2,life_at_1_3,life_at_1_4,life_at_2_0,life_at_2_1,life_at_2_2,life_at_2_3,life_at_2_4,life_at_3_0,life_at_3_1,life_at_3_2,life_at_3_3,life_at_3_4,life_at_4_0,life_at_4_1,life_at_4_2,life_at_4_3,life_at_4_4,num_alive,ideal_neighbors_heuristic,max_neighbors_heuristic,min_neighbors_heuristic,is_infinite
False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,True,False,True,19,6,110,0.00909090909090909,False
False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,True,False,9,11,60,0.016666666666666666,False
True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,22,5,126,0.007936507936507936,False
False,True,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,10,12,59,0.01694915254237288,False
True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5,9,29,0.034482758620689655,False
False,True,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,True,11,8,60,0.016666666666666666,True
True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7,7,34,0.029411764705882353,False
True,False,True,True,False,False,True,True,True,True,True,True,False,True,False,True,False,False,True,False,True,False,True,False,True,15,8,87,0.011494252873563218,False
False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,9,13,55,0.01818181818181818,True
True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,21,6,118,0.00847457627118644,False
True,False,True,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,20,5,113,0.008849557522123894,False
False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,2,15,0.06666666666666667,False
True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,20,5,118,0.00847457627118644,False
True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,22,5,131,0.007633587786259542,False
False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,19,6,110,0.00909090909090909,False
False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,True,True,False,False,False,False,10,11,58,0.017241379310344827,True
True,False,False,False,True,True,False,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,True,16,13,90,0.011111111111111112,False
True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,9,11,53,0.018867924528301886,True
False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4,7,26,0.038461538461538464,False
True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,21,5,120,0.008333333333333333,False
True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,21,6,118,0.00847457627118644,False
True,True,True,True,False,True,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,14,11,78,0.01282051282051282,False
False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,False,True,False,False,True,True,9,12,53,0.018867924528301886,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2,1,11,0.09090909090909091,False
False,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,True,False,True,True,True,True,True,False,13,10,75,0.013333333333333334,True
True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,True,10,17,48,0.020833333333333332,False
True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,4,8,24,0.041666666666666664,False
False,True,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,True,False,True,17,10,100,0.01,False
True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,20,6,116,0.008620689655172414,False
True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,14,8,81,0.012345679012345678,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,4,5,24,0.041666666666666664,False
False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,False,True,True,True,False,False,True,False,16,14,94,0.010638297872340425,False
False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,4,21,0.047619047619047616,False
False,False,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,12,14,67,0.014925373134328358,False
False,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,False,True,13,18,72,0.013888888888888888,False
False,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,False,True,False,True,15,11,81,0.012345679012345678,True
False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,8,13,55,0.01818181818181818,True
True,True,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,12,15,69,0.014492753623188406,True
False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,False,True,7,12,42,0.023809523809523808,True
False,True,False,False,False,True,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,False,True,False,False,10,13,65,0.015384615384615385,True
True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,20,7,110,0.00909090909090909,False
False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,4,6,23,0.043478260869565216,False
True,False,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,19,9,110,0.00909090909090909,False
True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,False,True,True,15,14,82,0.012195121951219513,False
False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,True,15,10,86,0.011627906976744186,False
False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,True,False,False,False,True,True,False,False,11,14,73,0.0136986301369863,False
True,True,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,11,10,60,0.016666666666666666,False
False,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,19,8,112,0.008928571428571428,False
